model,group,group_key,n,compile_pass,compile_pass_rate,dynamic_change_pass,dynamic_change_pass_rate
qwen3.7-plus,G1,json_ir_guarded,90,76,0.8444444444444444,68,0.7555555555555555
qwen3.7-plus,G2,json_ir_ungated,90,22,0.24444444444444444,5,0.05555555555555555
qwen3.7-plus,G3,direct_xl_static_gate,90,42,0.4666666666666667,37,0.4111111111111111
qwen3.7-plus,G4,direct_xl_ungated,90,43,0.4777777777777778,10,0.1111111111111111
deepseek-v4-flash-0731,G1,json_ir_guarded,90,80,0.8888888888888888,70,0.7777777777777778
deepseek-v4-flash-0731,G2,json_ir_ungated,90,25,0.2777777777777778,7,0.07777777777777778
deepseek-v4-flash-0731,G3,direct_xl_static_gate,90,43,0.4777777777777778,41,0.45555555555555555
deepseek-v4-flash-0731,G4,direct_xl_ungated,90,42,0.4666666666666667,11,0.12222222222222222
qwen3.8-flash,G1,json_ir_guarded,90,73,0.8111111111111111,64,0.7111111111111111
qwen3.8-flash,G2,json_ir_ungated,90,27,0.3,6,0.06666666666666667
qwen3.8-flash,G3,direct_xl_static_gate,90,24,0.26666666666666666,23,0.25555555555555554
qwen3.8-flash,G4,direct_xl_ungated,90,21,0.23333333333333334,10,0.1111111111111111
MiniMax-M2.5,G1,json_ir_guarded,90,42,0.4666666666666667,39,0.43333333333333335
MiniMax-M2.5,G2,json_ir_ungated,90,1,0.011111111111111112,0,0.0
MiniMax-M2.5,G3,direct_xl_static_gate,90,9,0.1,9,0.1
MiniMax-M2.5,G4,direct_xl_ungated,90,12,0.13333333333333333,2,0.022222222222222223
