task_id,domain,system_name,G1,G2,G3,G4
rflp_001,landing_gear,MainLandingGearRetractionSystem,0.55,0.1,0.25,0.1
rflp_002,water_tank,DualTankLevelControlSystem,0.65,0.0,0.15000000000000002,0.05
rflp_003,thermal_management,BatteryPackThermalManagementSystem,0.6,0.2,0.7000000000000001,0.2
rflp_004,vehicle_braking,AutonomousVehicleBrakeAssistSystem,0.85,0.05,0.45,0.45
rflp_005,robotics,RobotArmJointPositioningSystem,0.75,0.05,0.15000000000000002,0.15000000000000002
rflp_007,pump_valve,ChemicalDosingFlowControlSystem,0.55,0.0,0.30000000000000004,0.05
rflp_008,wind_turbine,WindTurbinePitchControlSystem,0.7,0.0,0.45,0.1
rflp_009,elevator_platform,IndustrialLiftSafetyControlSystem,0.25,0.0,0.2,0.0
rflp_010,hvac,SmartHVACZoneControlSystem,0.8500000000000001,0.2,0.55,0.15000000000000002
rflp_013,medical_infusion,InfusionPumpSafetySystem,0.75,0.0,0.35,0.15000000000000002
rflp_016,warehouse_agv,WarehouseAGVPathFollowingSystem,0.8500000000000001,0.0,0.0,0.0
rflp_017,hydraulic_press,HydraulicPressForceControlSystem,0.0,0.0,0.05,0.0
rflp_018,air_compressor,AirCompressorPressureControlSystem,0.9,0.0,0.15000000000000002,0.0
rflp_019,smart_irrigation,SmartIrrigationMoistureControlSystem,0.75,0.1,0.35,0.0
rflp_021,crane_anti_sway,CraneAntiSwayControlSystem,0.7,0.0,0.35,0.05
rflp_022,cold_chain,ColdChainCabinetTemperatureSystem,0.65,0.2,0.25,0.05
rflp_023,pipeline_leak,PipelineLeakDetectionIsolationSystem,0.8,0.0,0.45,0.05
rflp_024,prosthetic_knee,ProstheticKneeDampingControlSystem,0.9,0.0,0.35000000000000003,0.1
