task_id,domain,system_name,model,G1,G2,G3,G4
rflp_001,landing_gear,MainLandingGearRetractionSystem,Qwen3.7-Plus,0.8,0.0,0.2,0.2
rflp_001,landing_gear,MainLandingGearRetractionSystem,DeepSeek-V4-Flash-0731,0.4,0.4,0.6,0.0
rflp_001,landing_gear,MainLandingGearRetractionSystem,Qwen3.8-Flash,1.0,0.0,0.2,0.2
rflp_001,landing_gear,MainLandingGearRetractionSystem,MiniMax-M2.5,0.0,0.0,0.0,0.0
rflp_002,water_tank,DualTankLevelControlSystem,Qwen3.7-Plus,0.8,0.0,0.4,0.0
rflp_002,water_tank,DualTankLevelControlSystem,DeepSeek-V4-Flash-0731,0.6,0.0,0.0,0.0
rflp_002,water_tank,DualTankLevelControlSystem,Qwen3.8-Flash,0.8,0.0,0.2,0.2
rflp_002,water_tank,DualTankLevelControlSystem,MiniMax-M2.5,0.4,0.0,0.0,0.0
rflp_003,thermal_management,BatteryPackThermalManagementSystem,Qwen3.7-Plus,1.0,0.0,1.0,0.0
rflp_003,thermal_management,BatteryPackThermalManagementSystem,DeepSeek-V4-Flash-0731,1.0,0.4,0.8,0.4
rflp_003,thermal_management,BatteryPackThermalManagementSystem,Qwen3.8-Flash,0.4,0.4,0.2,0.4
rflp_003,thermal_management,BatteryPackThermalManagementSystem,MiniMax-M2.5,0.0,0.0,0.8,0.0
rflp_004,vehicle_braking,AutonomousVehicleBrakeAssistSystem,Qwen3.7-Plus,1.0,0.2,0.2,1.0
rflp_004,vehicle_braking,AutonomousVehicleBrakeAssistSystem,DeepSeek-V4-Flash-0731,1.0,0.0,1.0,0.2
rflp_004,vehicle_braking,AutonomousVehicleBrakeAssistSystem,Qwen3.8-Flash,0.6,0.0,0.4,0.2
rflp_004,vehicle_braking,AutonomousVehicleBrakeAssistSystem,MiniMax-M2.5,0.8,0.0,0.2,0.4
rflp_005,robotics,RobotArmJointPositioningSystem,Qwen3.7-Plus,0.6,0.0,0.0,0.0
rflp_005,robotics,RobotArmJointPositioningSystem,DeepSeek-V4-Flash-0731,1.0,0.2,0.2,0.4
rflp_005,robotics,RobotArmJointPositioningSystem,Qwen3.8-Flash,1.0,0.0,0.4,0.2
rflp_005,robotics,RobotArmJointPositioningSystem,MiniMax-M2.5,0.4,0.0,0.0,0.0
rflp_007,pump_valve,ChemicalDosingFlowControlSystem,Qwen3.7-Plus,0.4,0.0,0.2,0.0
rflp_007,pump_valve,ChemicalDosingFlowControlSystem,DeepSeek-V4-Flash-0731,1.0,0.0,0.8,0.0
rflp_007,pump_valve,ChemicalDosingFlowControlSystem,Qwen3.8-Flash,0.8,0.0,0.2,0.2
rflp_007,pump_valve,ChemicalDosingFlowControlSystem,MiniMax-M2.5,0.0,0.0,0.0,0.0
rflp_008,wind_turbine,WindTurbinePitchControlSystem,Qwen3.7-Plus,1.0,0.0,0.6,0.2
rflp_008,wind_turbine,WindTurbinePitchControlSystem,DeepSeek-V4-Flash-0731,0.8,0.0,1.0,0.0
rflp_008,wind_turbine,WindTurbinePitchControlSystem,Qwen3.8-Flash,1.0,0.0,0.2,0.2
rflp_008,wind_turbine,WindTurbinePitchControlSystem,MiniMax-M2.5,0.0,0.0,0.0,0.0
rflp_009,elevator_platform,IndustrialLiftSafetyControlSystem,Qwen3.7-Plus,0.2,0.0,0.2,0.0
rflp_009,elevator_platform,IndustrialLiftSafetyControlSystem,DeepSeek-V4-Flash-0731,0.2,0.0,0.4,0.0
rflp_009,elevator_platform,IndustrialLiftSafetyControlSystem,Qwen3.8-Flash,0.4,0.0,0.2,0.0
